"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"HRADISTE";1964;8,45;19,26;72,24;86,18;78,08;121,49;73,99;140,11;47,57;160,1;38,72;49,74
"HRADISTE";1965;39,88;89,69;58,16;97,54;190,5;179,75;91,94;78,39;57,07;4,42;42,75;43,77
"HRADISTE";1966;50,92;38,88;56,57;89,49;64,36;196,27;144,7;193,18;62,87;45,32;49,14;72,48
"HRADISTE";1967;43,82;28,41;46,49;73,87;139,25;116,1;110,31;104,21;124,29;25,54;47,81;44,32
"HRADISTE";1968;55,7;17,35;25,32;58,03;85,54;76,76;129,04;147,2;77,47;60,03;28,23;20,56
"HRADISTE";1969;50,65;46,16;35,3;30,9;78,6;194,43;68,26;99,04;41,87;8,27;66,31;57,95
"HRADISTE";1970;14,7;99,61;52,22;50,37;98,15;138,93;66,54;136,22;49,4;68,06;80,83;35,14
"HRADISTE";1971;6,07;44,22;58,12;58,11;97;145,94;60,1;105,5;98,91;21,06;52,85;26,08
"HRADISTE";1972;19,29;49,69;15,46;125,1;90,17;81,17;193;78,89;66,1;23,03;41,89;3,88
"HRADISTE";1973;23,49;42,34;46,32;49,58;80,88;168,79;110,15;26,71;63,45;24,38;55,58;23,96
"HRADISTE";1974;37,1;39,88;18,86;51,88;162,72;177,3;157,49;110,08;36,79;82,78;57,91;107,36
"HRADISTE";1975;27,63;16,23;60,2;33,39;66,65;232,66;130,25;87,84;24,99;72,38;44,74;34,38
"HRADISTE";1976;81,08;17,03;13,89;58,3;103,49;52,78;184,86;94,41;51,86;78,58;100,44;26,04
"HRADISTE";1977;52,48;73,42;53,38;77,21;35,45;63,47;154,79;224,62;75,52;23,44;33;47,18
"HRADISTE";1978;23,37;27,61;28,7;47,94;92,86;152,65;81,43;101,92;60,75;46,65;25,54;24,12
"HRADISTE";1979;41;35,32;112,59;86,53;39,48;176,49;96,53;115,76;89,23;19,21;91,4;37,47
"HRADISTE";1980;25,53;30,75;52,59;148,61;53,79;106,12;150,48;82,18;36,97;76,72;51,57;18,68
"HRADISTE";1981;42,47;17,16;46,31;23,91;73,05;88,23;217,95;72,66;133,91;70,52;66,33;69,89
"HRADISTE";1982;56,96;14,45;66,22;31,48;68,1;102,33;111,44;103,09;32,36;40,53;30,07;64,6
"HRADISTE";1983;54,32;48,12;26,25;83,36;76,24;136,9;66,64;80,01;36,87;19,73;19,21;31,6
"HRADISTE";1984;30,41;46,96;42,1;73,02;92,68;65,38;104,71;85,11;117,29;29,04;26,01;21,51
